#,gender,married,age,service,contract,billing,due
437,m,s,49,b,y,c,2
438,m,s,65,p,y,a,0
439,f,m,57,g,y,c,0
440,f,m,39,b,y,a,0
441,m,s,19,p,n,c,0
442,m,s,63,b,y,a,2
443,f,m,55,g,n,a,0
444,m,m,58,b,n,a,0
445,f,m,65,b,y,c,1
446,f,m,79,p,y,c,0
447,m,s,58,b,y,c,0
448,f,m,25,p,y,c,0
449,m,s,27,g,n,c,0
450,f,s,42,p,y,a,0
451,f,s,35,p,y,c,0
452,f,s,28,b,n,a,1
453,m,s,69,p,y,a,0
454,f,s,28,p,n,c,0
455,m,m,74,p,n,a,0
456,m,m,59,p,n,a,0
457,m,m,79,g,y,a,0
458,f,s,50,b,n,c,0
459,m,s,43,b,y,c,0
460,f,m,68,g,y,a,0
461,f,m,74,p,y,a,0
462,m,s,70,b,n,c,0
463,f,m,25,g,y,a,1
464,m,m,24,p,y,a,1
465,f,m,50,g,n,c,0
466,m,s,43,b,n,c,2
467,m,s,20,b,n,c,1
468,f,s,47,p,n,a,1
469,m,m,74,b,n,c,0
470,m,m,53,p,y,a,0
471,m,s,18,g,n,a,0
472,m,m,78,p,n,c,0
473,f,s,30,b,y,a,1
474,f,s,36,b,n,a,2
475,m,m,68,g,y,a,1
476,f,s,60,p,n,c,0
477,f,m,56,g,n,a,2
478,f,s,19,p,y,c,0
479,m,m,73,p,y,c,2
480,m,m,26,b,n,c,0
481,f,s,57,g,n,c,2
482,m,s,77,g,y,c,0
483,f,s,70,p,n,c,2
484,m,m,31,g,y,c,0
485,f,s,67,b,n,a,0
486,f,m,52,b,n,a,0
487,m,m,24,p,n,c,0
488,f,m,54,p,y,a,1
489,m,s,26,p,n,a,0
490,f,m,61,g,y,c,0
491,m,m,45,p,y,a,0
492,m,m,59,b,n,a,0
493,m,s,66,p,n,a,0
494,f,m,22,b,n,c,0
495,m,s,28,g,y,a,2
496,f,m,47,p,y,a,0
497,m,s,46,b,n,a,0
498,m,m,70,b,n,a,0
499,f,s,19,g,y,a,0
500,f,m,63,p,n,a,0
501,f,m,70,p,y,c,1
502,m,s,49,p,y,c,1
503,f,m,70,p,y,c,0
504,f,s,51,p,y,c,2
505,f,m,27,b,y,a,1
506,f,m,37,b,y,c,0
507,f,m,60,g,n,a,0
508,f,m,45,b,y,c,0
509,f,m,62,p,y,c,1
510,f,m,19,g,n,c,0
511,f,m,47,g,y,a,0
512,m,s,30,p,n,a,1
513,f,m,48,b,y,c,0
514,f,s,58,g,n,a,0
515,f,m,43,g,n,a,1
516,f,m,74,p,n,a,0
517,f,s,79,g,n,c,0
518,m,m,26,g,n,a,1
519,m,m,44,p,y,a,2
520,f,s,62,p,y,a,1
521,m,s,34,b,y,c,0
522,f,m,58,p,y,c,0
523,m,m,62,p,n,c,0
524,m,m,21,p,n,a,0
525,f,s,64,p,y,c,1
526,m,m,32,p,n,c,0
527,f,m,74,p,y,c,1
528,m,s,20,p,y,c,0
529,f,m,54,g,n,c,0
530,m,m,53,g,n,c,1
531,m,s,30,b,y,c,0
532,m,m,24,g,n,a,0
533,m,s,18,p,y,c,0
534,f,s,66,g,n,a,1
535,f,m,42,b,y,c,1
536,f,m,34,p,n,c,0
537,m,m,46,p,y,c,1
538,m,m,31,g,n,c,0
539,m,s,69,g,n,a,0
540,f,m,33,b,y,c,0
541,m,m,31,p,y,a,0
542,m,m,66,b,n,a,0
543,m,s,59,p,y,a,0
544,f,m,50,p,y,c,0
545,f,m,36,g,y,a,0
546,f,m,49,p,n,c,0
547,m,m,43,p,n,a,0
548,f,m,79,g,y,a,0
549,f,s,66,p,n,c,1
550,f,s,68,g,y,a,0
551,m,m,47,p,n,c,1
552,f,m,74,g,n,c,0
553,f,s,65,p,y,c,0
554,m,m,69,p,n,a,0
555,f,s,72,b,n,c,1
556,f,m,29,g,y,c,0
557,m,m,28,p,y,a,0
558,f,s,71,b,n,c,0
559,f,m,52,g,y,c,0
560,m,m,45,p,y,c,0
561,m,m,79,p,y,c,0
562,f,m,37,b,n,a,0
563,m,m,64,p,n,c,0
564,f,m,54,p,y,a,0
565,f,s,46,p,n,c,0
566,f,m,28,p,y,c,1
567,f,s,34,p,n,c,1
568,f,m,36,b,n,c,2
569,f,s,61,p,y,c,0
570,m,s,25,p,n,a,0
571,f,m,64,b,n,c,1
572,f,s,72,b,n,a,2
573,m,s,40,p,n,c,0
574,f,m,51,b,y,a,0
575,m,s,38,g,y,a,0
576,f,s,43,g,y,a,0
577,f,s,57,p,y,c,0
578,m,s,57,p,y,c,0
579,m,s,52,p,n,a,1
580,f,m,33,g,y,a,0
581,m,m,27,g,y,c,0
582,m,m,49,g,y,c,0
583,f,m,67,b,n,c,2
584,f,s,62,p,y,a,1
585,m,s,42,b,n,a,1
586,m,m,21,b,y,c,0
587,m,m,68,b,y,c,2
588,m,s,26,p,y,c,0
589,f,s,67,b,y,c,0
590,f,m,62,g,y,c,0
591,m,s,44,g,y,a,0
592,m,m,51,g,n,c,0
593,m,m,29,g,y,a,0
594,f,m,77,p,n,a,0
595,f,s,22,g,n,a,0
596,f,s,18,g,y,a,0
597,f,s,71,b,y,c,0
598,f,m,57,p,n,c,0
599,m,m,37,g,n,c,0
600,m,m,55,g,n,c,0
601,f,s,78,p,y,c,0
602,m,m,39,b,n,c,0
603,f,m,20,b,y,c,1
604,m,m,48,p,n,a,0
605,f,s,63,p,y,c,0
606,f,s,76,p,y,c,0
607,f,s,40,p,y,a,1
608,f,s,69,b,n,c,0
609,f,s,32,b,n,a,0
610,f,m,18,b,y,a,0
611,f,m,59,b,n,c,1
612,f,m,35,p,y,c,0
613,m,s,26,b,y,a,0
614,m,s,52,p,n,a,1
615,m,s,64,g,n,a,0
616,f,s,21,b,n,c,0
617,m,m,72,b,y,c,0
618,f,m,53,b,y,a,1
619,f,m,62,p,y,c,0
620,f,m,72,p,n,a,0
621,f,m,66,g,n,c,0
622,f,m,25,p,n,c,1
623,f,m,50,g,y,a,0
624,f,m,35,p,y,c,0
625,f,m,54,b,n,c,0
626,f,m,76,p,y,c,1
627,m,m,65,g,y,a,0
628,f,m,57,g,y,c,0
629,m,s,77,g,y,a,0
630,f,s,21,p,n,c,2
631,m,m,71,b,n,c,2
632,m,s,30,p,n,c,2
633,f,m,53,p,n,c,0
634,f,s,70,g,y,c,0
635,f,m,55,b,n,a,2
636,f,s,63,b,y,c,0
637,f,m,35,g,y,a,0
638,m,s,65,p,n,c,0
639,m,m,57,p,y,c,2
640,m,m,28,p,y,c,0
641,m,m,41,p,y,c,0
642,m,m,42,p,y,a,1
643,f,s,74,b,y,a,0
644,m,s,22,b,y,a,0
645,m,m,40,p,n,c,0
646,f,m,45,p,y,a,0
647,m,m,41,g,n,c,1
648,f,s,33,b,n,a,0
649,f,s,21,g,y,a,0
650,m,s,68,g,n,a,0
651,f,m,75,b,y,a,2
652,m,m,31,g,y,a,2
653,m,m,50,p,y,a,1
654,f,m,41,b,n,c,0
655,m,m,75,p,n,a,2
656,f,m,66,p,y,a,1
657,m,s,47,g,y,a,0
658,m,s,47,b,y,a,0
659,m,s,38,g,n,c,0
660,m,m,66,p,n,c,0
661,m,m,56,g,n,c,1
662,m,m,50,b,n,c,0
663,f,m,26,p,y,c,0
664,f,m,33,b,n,c,0
665,f,m,74,p,n,c,0
666,f,m,35,b,y,c,1
667,m,m,77,b,n,c,0
668,f,m,73,p,y,c,0
669,m,s,52,p,y,c,2
670,m,s,71,p,n,a,0
671,m,m,27,p,y,a,2
672,m,s,75,p,n,a,0
673,f,m,56,p,y,c,0
674,m,m,29,p,n,c,0
675,f,m,22,p,n,a,0
676,f,m,53,g,n,a,0
677,m,s,43,g,n,c,0
678,f,m,41,p,n,a,0
679,f,s,77,g,n,c,0
680,m,s,76,g,n,a,0
681,f,m,41,p,n,a,0
682,f,s,50,p,y,c,0
683,m,s,42,g,n,a,0
684,f,m,35,p,y,c,0
685,f,s,49,g,n,c,0
686,m,s,52,b,y,a,0
687,f,m,51,b,n,a,0
688,m,s,38,p,n,a,0
689,f,m,37,b,n,c,0
690,m,m,79,p,y,c,2
691,m,s,53,b,y,a,1
692,f,m,34,p,y,c,0
693,f,m,54,p,y,a,0
694,m,s,44,b,y,c,1
695,f,m,61,p,y,a,0
696,f,m,41,b,y,c,0
697,m,s,47,g,y,a,1
698,f,m,77,p,y,a,0
699,m,s,63,g,y,a,1
700,m,s,78,b,y,c,0
701,m,s,44,p,y,a,0
702,f,m,24,g,n,a,2
703,m,m,65,g,n,c,0
704,m,s,29,p,n,c,1
705,f,s,35,p,n,c,2
706,m,s,38,g,y,a,0
707,m,s,67,b,n,a,0
708,m,m,45,b,y,c,0
709,f,m,44,p,y,a,2
710,f,s,31,g,y,a,0
711,m,s,49,p,n,a,0
712,m,m,35,g,y,a,1
713,f,m,27,p,y,c,1
714,m,m,18,g,n,a,0
715,m,m,68,g,n,c,1
716,f,m,53,b,n,a,2
717,m,m,76,g,y,c,0
718,m,m,36,p,n,c,0
719,f,m,49,p,y,a,0
720,f,m,44,b,n,a,0
721,m,m,37,b,n,c,0
722,f,s,52,b,n,a,0
723,m,s,63,g,y,c,1
724,m,s,36,b,y,c,0
725,f,m,41,g,y,a,0
726,f,m,34,b,n,a,0
727,m,s,55,b,n,a,0
728,m,s,61,g,y,c,0
729,m,s,31,p,n,c,0
730,f,m,25,g,y,a,0
731,m,m,69,b,n,c,0
732,f,m,79,p,y,a,0
733,m,s,58,b,n,c,0
734,m,m,42,p,y,c,0
735,f,s,26,p,y,a,0
736,f,m,76,b,y,a,0
737,m,s,36,g,y,a,2
738,f,m,33,b,n,a,0
739,m,m,50,g,y,a,0
740,f,m,57,p,y,c,0
741,m,m,33,p,y,c,2
742,m,m,59,b,y,c,1
743,m,s,30,p,n,a,0
744,m,m,43,p,y,a,2
745,m,m,65,p,y,c,0
746,f,m,24,b,y,c,0
747,m,m,64,b,y,c,0
748,m,s,33,p,n,c,0
749,f,m,38,p,n,c,0
750,f,m,66,g,n,c,0
751,m,m,79,b,n,c,0
752,m,m,26,b,n,c,1
753,f,m,68,b,y,a,1
754,m,s,78,p,n,c,1
755,m,m,34,g,y,c,0
756,m,s,73,p,n,a,0
757,f,m,25,b,y,a,0
758,f,m,68,p,n,a,0
759,m,m,78,p,y,c,2
760,m,s,35,b,y,c,2
761,m,s,19,p,n,a,1
762,m,s,75,g,n,a,0
763,f,m,60,b,n,c,0
764,m,m,56,p,n,a,0
765,f,s,79,p,y,a,0
766,m,m,57,b,n,a,1
767,m,m,33,p,n,c,1
768,f,s,63,p,y,a,0
769,m,m,42,p,y,a,0
770,m,m,41,b,y,a,0
771,f,m,63,b,y,c,0
772,f,m,34,p,n,a,0
773,m,m,37,g,n,c,0
774,f,s,39,b,n,c,0
775,f,m,47,p,y,c,2
776,f,s,74,p,n,c,0
777,f,m,39,b,y,a,1
778,f,m,35,b,y,a,0
779,f,m,65,b,y,c,1
780,f,m,34,g,n,c,0
781,m,s,79,g,n,a,0
782,m,m,25,p,n,a,2
783,f,s,73,b,n,c,0
784,f,m,41,g,n,a,0
785,m,s,46,b,n,c,2
786,f,s,35,g,n,a,0
787,f,m,67,b,n,c,1
788,m,m,24,p,n,a,0
789,m,s,58,p,y,a,0
790,f,s,56,p,y,a,0
791,f,s,35,g,y,c,0
792,f,m,74,p,y,a,0
793,m,m,61,b,n,c,0
794,f,m,75,p,y,c,0
795,f,m,36,b,n,c,1
796,f,s,64,p,y,a,2
797,m,m,59,p,n,a,0
798,f,m,49,g,y,a,0
799,m,m,76,p,n,a,1
800,m,m,18,b,y,c,0
801,m,m,29,p,n,c,0
802,m,m,44,g,n,a,0
803,f,m,45,p,y,c,0
804,f,m,63,g,n,c,0
805,f,m,50,b,n,a,1
806,m,s,36,g,y,c,0
807,m,m,58,p,n,c,0
808,m,m,42,b,n,a,0
809,m,m,37,p,n,c,0
810,m,m,79,b,n,c,0
811,m,m,28,g,y,a,0
812,f,m,68,g,y,c,0
813,f,s,34,p,n,c,0
814,f,m,79,g,n,a,0
815,f,m,71,p,y,a,0
816,m,m,31,b,y,c,0
817,f,m,65,p,y,c,1
818,f,s,18,p,n,a,0
819,m,m,54,p,n,a,0
820,m,s,65,p,y,c,1
821,m,m,48,b,n,c,1
822,m,m,29,g,y,c,0
823,m,s,24,p,y,a,0
824,f,m,21,g,n,c,0
825,f,m,35,p,n,c,0
826,m,s,33,g,n,c,0
827,m,m,33,b,n,c,0
828,m,m,27,p,y,c,0
829,f,m,56,g,y,a,1
830,f,m,64,p,y,c,0
831,m,s,48,g,y,c,0
832,m,s,36,p,y,a,0
833,m,s,42,p,y,c,0
834,m,s,25,b,y,c,2
835,m,m,55,b,y,a,0
836,f,m,53,b,y,a,2
837,m,s,74,b,y,c,0
838,f,s,22,g,n,c,1
839,f,s,69,p,n,c,0
840,f,m,18,b,n,a,0
841,f,m,66,g,n,a,0
842,m,s,75,g,y,a,0
843,m,m,46,g,y,a,0
844,m,s,56,g,n,c,0
845,f,m,72,g,y,c,0
846,f,s,36,p,y,a,0
847,f,s,77,b,y,a,1
848,m,m,18,p,n,a,0
849,m,m,76,g,y,a,1
850,m,s,40,b,y,c,0
851,m,m,27,p,y,a,2
852,f,s,27,p,n,a,2
853,f,m,56,b,y,c,0
854,f,s,56,p,y,a,0
855,m,m,55,p,y,c,0
856,f,m,36,p,y,a,2
857,m,m,40,g,n,c,0
858,f,s,78,p,y,a,0
859,m,s,55,b,n,a,1
860,m,s,23,p,y,c,0
861,m,m,51,g,n,c,0
862,f,s,26,b,y,c,0
863,m,m,59,p,n,a,0
864,m,s,70,b,n,a,1
865,f,s,63,p,y,a,0
866,f,m,28,g,y,c,0
867,m,s,35,b,y,c,0
868,m,s,70,p,n,a,0
869,m,m,51,p,n,c,1
870,m,s,25,b,n,c,0
871,f,s,42,b,n,a,0
872,m,m,61,g,n,c,1
